hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reserved_room_type,assigned_room_type
Resort Hotel,0,98,2016,June,27,26,2,4,3,0.0,0,A,C
Resort Hotel,0,190,2016,April,16,10,2,5,1,0.0,0,A,A
Resort Hotel,0,202,2017,May,18,4,0,1,2,0.0,0,D,D
City Hotel,0,142,2016,June,26,20,1,2,2,0.0,0,D,D
Resort Hotel,1,171,2016,April,18,30,4,10,2,0.0,0,D,D
City Hotel,1,245,2016,June,25,17,0,2,2,0.0,0,A,A
City Hotel,1,311,2015,August,35,24,1,1,2,0.0,0,A,A
City Hotel,1,115,2016,October,42,9,2,1,2,1.0,0,D,D
City Hotel,1,151,2017,July,27,3,1,2,2,0.0,0,D,D
Resort Hotel,0,225,2016,June,26,23,2,5,2,0.0,0,A,A
City Hotel,1,174,2017,July,30,28,0,1,1,0.0,0,A,A
Resort Hotel,0,15,2016,August,32,4,0,3,3,0.0,0,A,A
City Hotel,0,167,2017,July,29,19,0,2,2,1.0,0,A,A
City Hotel,1,130,2017,April,16,21,0,2,2,0.0,0,A,A
City Hotel,0,2,2017,May,21,24,0,1,1,0.0,0,A,A
City Hotel,0,236,2017,July,27,6,0,3,2,0.0,0,A,A
Resort Hotel,0,4,2017,January,2,14,0,1,1,0.0,0,A,D
City Hotel,0,0,2016,January,2,5,0,3,1,0.0,0,D,D
Resort Hotel,0,164,2016,July,27,1,4,10,2,0.0,0,E,E
City Hotel,1,31,2017,February,7,16,0,3,1,0.0,0,A,A
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,A,A
City Hotel,0,61,2015,October,41,4,2,0,1,0.0,0,A,A
City Hotel,0,34,2017,April,16,16,2,2,2,0.0,0,A,A
Resort Hotel,0,6,2017,June,25,23,0,2,2,0.0,0,A,C
City Hotel,0,62,2016,October,44,25,0,3,2,0.0,0,D,A
City Hotel,0,57,2016,April,17,22,0,2,2,0.0,0,D,D
City Hotel,0,9,2016,December,51,16,0,1,2,1.0,0,D,D
Resort Hotel,0,77,2015,July,31,29,1,4,2,1.0,1,C,C
City Hotel,1,213,2016,June,24,7,0,3,2,0.0,0,A,A
City Hotel,0,41,2016,March,14,27,2,1,2,0.0,0,A,A
City Hotel,0,97,2017,May,18,5,1,2,3,0.0,0,D,D
Resort Hotel,0,0,2016,January,3,11,1,4,2,0.0,0,A,A
City Hotel,1,281,2016,October,40,1,2,1,2,0.0,0,A,A
